Tagtype,Description,Example
team,team handle ,@Raptors
player,player handle ,@kingjames
player elite,elite player handle ,@theking
player allstar,allstar player,Chris Middleton
highlight,"big moments - clutch, steal, dunk, slam, game end, assist",Kawhi with the VICIOUS SLAM!!!!!
nbaceleb,Celebrity visits a game or comments,Beyonce
announcement,Dates and times ,Upcoming playoff
TVrelated,related to TV listings and promotions ,nbaontnt
Promoted,non basketball promotion sponsered ads,
regularseason,regular season games ,
playoffseason,Playoff season related ,The big game 1 raps Bucks!!
playernohandle,Players who dont do social media,Kawhi   
playernickname,Some players ,TheBeard
finalscore,The final score of a game ,Raps win 125-95
personalstory,"Announcements, birthdays, stories",The Story of the Greek Freak
nbatag,Tags official for the nba,#Thisishowweplay
fanengagement,Kisscam etc,Sealed with a kiss!
repost,reposted posts,
veteranlegend,Legend player from past ,Magic
stats,Statistic ,
